SiteID,Name,PI,Data_Use_Policy,AmeriFlux_BASE_Data,AmeriFlux_FLUXNET_Data,IGBP,IGBP_Description,Koppen,Koppen_Description,MAP,MAT,Country,Latitude,Longitude,Elevation,Years_of_AmeriFlux_BASE_Data,AmeriFlux_BASE_DOI,Years_of_AmeriFlux_FLUXNET_Data,AmeriFlux_FLUXNET_DOI,SiteStart,SiteEnd,BASE_variables_available,FLUXNET_variables_available,Number_of_years,Wetness_Index
CA-ARB,Attawapiskat River Bog,Elyn Humphreys (elynhumphreys@cunet.carleton.ca),CC-BY-4.0,Yes,Yes,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Dfb,Warm Summer Continental: significant precipitation in all seasons ,700,-1.3,Canada,52.695,-83.9452,90,"2011, 2012, 2013, 2014, 2015",https://doi.org/10.17190/AMF/1480319,"2011, 2012, 2013, 2014, 2015",https://doi.org/10.17190/AMF/1902821,2010,,"ALB, CO2, D_SNOW, FC, G, H, LE, LW_IN, LW_OUT, MO_LENGTH, P, PA, RH, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WTD, ZL",,5,0.9337
CA-ARF,Attawapiskat River Fen,Elyn Humphreys (elynhumphreys@cunet.carleton.ca),CC-BY-4.0,Yes,Yes,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Dfb,Warm Summer Continental: significant precipitation in all seasons ,700,-1.3,Canada,52.7008,-83.955,88,"2011, 2012, 2013, 2014, 2015",https://doi.org/10.17190/AMF/1480318,"2011, 2012, 2013, 2014, 2015",https://doi.org/10.17190/AMF/1902822,2010,,"ALB, CO2, D_SNOW, FC, G, H, LE, LW_IN, LW_OUT, MO_LENGTH, P, PA, RH, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WTD, ZL",,5,0.9234
CA-Ca1,British Columbia - 1949 Douglas-fir stand,T. Andrew Black (andrew.black@ubc.ca),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Cfb,"Marine West Coast: mild with no dry season, warm summer",1369,9.93,Canada,49.8673,-125.3336,300,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/1480300,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/2007163,1997,,"CO2, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, PA, PPFD_BC_IN, PPFD_DIF, PPFD_IN, PPFD_OUT, P_RAIN, RECO, RH, SB, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, T_BOLE, TS, T_SONIC, USTAR, WD, WS",,15,1.9668
CA-Ca2,British Columbia - Clearcut Douglas-fir stand (harvested winter 1999/2000),T. Andrew Black (andrew.black@ubc.ca),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Cfb,"Marine West Coast: mild with no dry season, warm summer",1474,9.86,Canada,49.8705,-125.2909,300,"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/1480301,"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/2007164,2000,,"CO2, FC, G, GPP, H, H2O, LE, NEE, NETRAD, PA, PPFD_IN, PPFD_OUT, P_RAIN, RECO, RH, SB, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, T_BOLE, TS, USTAR, WD, WS",,12,1.8267
CA-Cbo,"Ontario - Mixed Deciduous, Borden Forest Site",Ralf Staebler (Ralf.Staebler@ec.gc.ca),CC-BY-4.0,Yes,Yes,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,876.34,6.66,Canada,44.3167,-79.9333,120,"1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1498755,"1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1854365,1995,,"CO2, CO2_SIGMA, FC, FO3, G, H, H2O, LE, LEAF_WET, LW_IN, LW_OUT, NEE, NETRAD, O3, PA, PPFD_IN, PPFD_OUT, RH, SC, SO2, SWC, SW_IN, SW_OUT, TA, T_BOLE, TS, T_SONIC, USTAR, WD, WS, W_SIGMA",,27,0.956
CA-CF1,Churchill Fen Site 1,Tim Papakyriakou (Tim.papakyriakou@umanitoba.ca),CC-BY-4.0,Yes,Yes,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Dfc,"Subarctic: severe winter, no dry season, cool summer",452,-6.5,Canada,58.6658,-93.83,16.5,"2007, 2008",https://doi.org/10.17190/AMF/1660336,"2007, 2008",https://doi.org/10.17190/AMF/2229375,2007,2008,"CO2, FC, H, H2O, LE, NETRAD, PA, PPFD_IN, P_RAIN, RH, SW_IN, TA, TS, USTAR, WD, WS",,2,0.8246
CA-DB2,Delta Burns Bog 2,Sara Knox (sara.knox@ubc.ca),CC-BY-4.0,Yes,Yes,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",,,,,Canada,49.119,-122.9951,4,"2019, 2020",https://doi.org/10.17190/AMF/1811362,"2019, 2020",https://doi.org/10.17190/AMF/1881564,2019,,"CO2, FC, FCH4, G, H, LE, LW_IN, LW_OUT, NETRAD, P, PA, RH, SW_IN, SW_OUT, TA, TS, T_SONIC, USTAR, WD, WS, WTD",,2,1.4655
CA-DBB,Delta Burns Bog,Sara Knox (sara.knox@ubc.ca),CC-BY-4.0,Yes,Yes,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Csb,"Mediterranean: mild with dry, warm summer",1128,10,Canada,49.1293,-122.9849,4,"2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1543378,"2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1881565,2014,,"CO2, FC, FCH4, G, H, LE, LW_IN, LW_OUT, NETRAD, P, PA, RH, SW_IN, SW_OUT, TA, TS, T_SONIC, USTAR, WD, WS, WTD",,7,1.5075
CA-ER1,Elora Research Station,Claudia Wagner-Riddle (cwagnerr@uoguelph.ca),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dfb,Warm Summer Continental: significant precipitation in all seasons ,946,6.7,Canada,43.6405,-80.4123,370,"2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1579541,"2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1832154,2015,,"CO2, CO2_SIGMA, FC, H, H2O, H2O_SIGMA, LE, MO_LENGTH, PA, RH, SW_IN, TA, TAU, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, ZL",,6,1.0367
CA-Gro,"Ontario - Groundhog River, Boreal Mixedwood Forest",Harry McCaughey (mccaughe@queensu.ca),CC-BY-4.0,Yes,Yes,MF,Mixed Forests: Lands dominated by trees with a percent cover >60% and height exceeding 2 meters.  Consists of tree communities with interspersed mixtures or mosaics of the other four forest types.  None of the forest types exceeds 60% of landscape.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,831,1.3,Canada,48.2167,-82.1556,340,"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014",https://doi.org/10.17190/AMF/1245996,"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014",https://doi.org/10.17190/AMF/1902823,2003,,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,12,0.9495
