TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
198101,-12.378,-13.16,2.759,-11.151,2.391,75.698,225.848,0.259,95.623,0.397,0.861
198102,-8.742,-9.605,2.39,-7.658,2.112,101.061,251.294,0.453,95.339,2.542,0.924
198103,-3.892,-5.171,3.221,-2.651,2.848,152.912,260.685,0.957,95.41,1.359,0.896
198104,3.959,2.411,2.741,5.102,3.044,188.221,289.51,2.685,95.506,3.766,0.951
198105,9.823,7.309,2.548,11.262,3.506,247.957,299.6,5.0,95.755,2.945,0.784
198106,15.196,13.161,1.737,16.213,2.558,224.378,343.667,4.532,95.283,5.427,0.888
198107,18.035,15.626,2.062,19.302,3.043,244.478,351.088,5.923,95.942,1.621,0.678
198108,17.11,15.251,1.769,18.334,2.709,189.223,358.123,3.924,95.817,2.949,0.651
198109,10.53,9.042,2.077,11.805,2.621,154.365,322.446,2.919,95.791,2.121,0.87
198110,3.322,2.502,2.129,4.26,1.947,91.79,300.06,1.347,95.799,2.819,0.96
198111,-0.37,-1.288,1.771,0.91,1.991,63.219,282.636,1.263,95.675,0.89,0.904
198112,-9.707,-10.331,1.963,-8.677,1.457,46.924,260.002,0.077,95.362,1.69,0.812
198201,-18.617,-19.264,2.834,-17.602,1.893,67.35,220.851,0.031,95.311,2.098,0.997
198202,-12.106,-13.094,2.733,-10.858,2.4,103.908,240.154,0.317,95.905,0.764,0.822
198203,-5.943,-6.888,2.366,-5.029,2.307,149.793,257.246,0.785,95.409,1.855,1.035
198204,0.461,-1.286,2.926,1.731,3.348,214.86,270.032,2.554,95.552,3.284,0.998
198205,13.546,11.382,2.223,14.786,3.202,220.37,330.055,5.309,95.662,3.024,0.879
198206,12.742,10.121,1.996,14.053,3.04,259.692,317.767,4.998,95.62,2.492,0.823
198207,18.441,16.321,1.907,19.566,3.03,220.157,361.222,5.214,95.683,5.052,0.765
198208,15.4,13.659,1.937,16.537,2.798,201.645,346.556,4.112,95.92,2.82,0.717
198209,10.893,9.82,2.235,11.814,2.24,133.467,334.106,2.203,95.813,4.556,0.994
198210,5.779,4.85,1.987,6.847,2.126,95.933,309.603,1.995,95.586,3.863,0.995
198211,-3.786,-4.41,2.158,-2.882,1.842,60.911,277.921,0.48,95.567,3.096,0.901
198212,-7.313,-7.756,2.129,-6.582,1.32,43.23,269.026,0.133,95.434,2.853,0.926
198301,-10.094,-10.523,2.034,-9.426,1.404,59.424,250.119,0.093,95.644,1.665,0.866
198302,-6.388,-7.039,1.752,-5.581,1.549,90.834,267.834,0.364,95.606,1.237,0.781
