TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
198101,5.477,3.76,2.855,7.601,3.491,145.738,268.57,2.467,102.194,0.705,2.637
198102,10.92,9.23,2.945,12.789,3.216,156.766,301.2,3.577,102.42,1.554,3.292
198103,12.982,11.247,2.62,14.653,3.349,216.153,301.5,4.859,101.796,2.932,3.157
198104,20.257,18.035,1.945,22.027,3.182,267.278,342.186,6.584,102.317,0.644,3.123
198105,21.835,19.548,2.094,23.395,3.14,273.408,358.567,6.671,101.756,3.256,2.733
198106,28.378,26.218,1.355,29.794,2.511,270.657,409.419,7.795,101.906,3.31,2.372
198107,28.376,26.595,1.21,29.558,2.321,246.6,417.809,6.327,101.963,4.876,2.077
198108,26.426,25.012,1.05,27.479,2.058,197.748,410.396,5.001,101.975,5.888,2.376
198109,23.727,21.379,1.649,25.825,3.189,234.421,371.68,5.935,102.003,1.027,1.901
198110,18.305,16.411,2.433,20.265,3.183,174.194,343.111,5.139,102.215,1.731,2.917
198111,13.774,11.894,2.201,16.045,3.291,138.006,314.122,3.965,102.05,1.612,2.714
198112,9.306,8.067,2.442,10.899,2.516,103.064,304.608,2.562,102.119,4.317,3.039
198201,8.053,6.696,2.773,9.732,2.76,119.847,301.022,2.194,102.266,2.048,3.012
198202,12.477,11.164,2.198,13.948,2.533,126.091,331.925,2.869,102.311,3.948,2.809
198203,15.711,13.827,2.228,17.526,3.04,192.23,334.532,4.011,102.165,1.48,2.516
198204,17.497,15.859,1.987,18.8,2.834,221.8,343.29,4.862,102.099,3.775,2.862
198205,23.294,20.875,1.675,24.955,2.908,271.232,368.233,6.09,102.062,2.239,2.115
198206,26.462,24.727,1.263,27.599,2.168,247.374,400.275,5.966,101.766,5.356,2.403
198207,27.844,26.237,1.051,28.914,2.001,231.41,414.692,5.955,102.073,4.746,2.024
198208,27.174,25.47,1.1,28.451,2.363,222.884,405.461,6.184,102.081,4.245,2.018
198209,23.754,22.139,1.354,25.184,2.524,190.745,385.383,5.06,102.025,4.96,2.249
198210,18.844,17.143,1.736,20.647,2.796,157.12,354.52,3.937,102.198,3.329,2.508
198211,16.115,14.729,2.197,17.782,2.755,116.727,343.908,3.132,102.442,1.188,2.824
198212,13.81,12.65,2.249,15.301,2.497,94.426,335.109,2.545,102.471,3.485,2.81
198301,7.882,6.791,1.795,9.231,2.328,107.149,305.556,1.92,102.162,4.028,2.837
198302,9.965,8.652,2.454,11.434,2.562,140.291,308.984,2.553,101.907,7.149,3.159
198303,14.123,12.638,2.267,15.557,2.781,179.359,321.532,3.859,101.501,6.961,3.353
198304,16.609,14.521,2.404,18.272,2.958,242.206,323.477,5.044,101.773,3.503,3.051
198305,22.419,20.251,1.75,23.898,2.663,270.727,359.603,6.087,102.0,1.646,2.746
198306,25.234,23.121,1.532,26.618,2.464,265.464,384.678,6.321,101.967,3.935,2.311
198307,28.641,26.654,1.309,29.961,2.705,280.149,410.546,7.763,102.042,3.296,2.227
198308,28.226,26.26,1.271,29.703,2.788,250.785,409.969,7.303,102.012,1.948,1.969
198309,25.045,23.283,1.541,26.611,2.911,204.477,386.996,7.602,102.135,2.742,2.476
198310,20.747,19.211,1.525,22.364,2.886,155.27,364.847,4.966,102.237,2.123,2.775
198311,14.584,12.824,2.579,16.707,3.291,138.502,321.524,3.414,101.961,2.853,2.693
198312,10.195,8.946,2.717,11.801,2.536,96.764,311.478,2.527,102.304,4.125,3.12
198401,7.984,6.82,2.471,9.438,2.757,105.991,303.349,2.158,102.365,3.209,2.752
198402,11.787,10.065,2.679,13.761,3.229,161.196,303.093,3.371,102.011,3.452,2.982
198403,14.246,12.606,2.663,15.821,3.087,210.163,314.16,4.257,101.912,4.405,3.022
198404,17.774,15.823,1.957,19.326,2.973,224.758,338.798,4.611,101.728,3.26,2.843
198405,22.974,20.829,1.85,24.426,2.854,288.56,360.014,7.327,102.046,1.961,2.843
198406,27.134,24.665,1.782,28.752,2.895,292.959,389.372,9.212,102.025,1.359,2.193
198407,27.438,25.663,1.132,28.618,2.37,239.46,409.551,6.766,102.073,5.868,2.375
198408,27.936,26.029,1.262,29.369,2.624,241.19,405.693,7.839,101.939,2.372,1.954
198409,23.223,21.581,1.54,24.67,2.768,183.147,383.069,5.553,102.077,5.442,3.124
198410,22.119,20.275,1.471,24.041,3.084,176.577,367.369,4.424,102.324,1.134,2.382
198411,13.41,11.688,2.493,15.505,3.433,137.853,312.531,3.913,102.319,1.151,2.956
198412,14.555,12.765,2.191,16.857,3.456,112.371,330.658,3.18,102.496,1.023,2.287
198501,6.877,5.573,2.612,8.491,2.91,123.509,286.316,2.631,102.035,2.323,3.252
198502,10.667,9.278,2.517,12.219,2.845,148.353,313.116,3.131,102.4,2.376,3.002
198503,15.98,14.089,2.443,17.788,3.374,203.426,327.017,5.569,102.226,1.473,2.998
198504,19.373,16.938,2.219,21.303,3.549,276.859,330.66,6.974,102.133,0.74,2.737
198505,23.084,21.05,1.992,24.473,2.794,260.512,370.694,6.224,101.785,3.29,2.477
198506,27.078,24.954,1.567,28.469,2.579,266.409,399.452,8.083,101.847,3.192,2.36
198507,28.182,26.274,1.282,29.444,2.468,247.211,409.308,7.595,102.003,6.341,2.302
198508,26.908,25.269,1.211,28.132,2.381,212.803,406.946,5.834,102.08,4.521,2.098
198509,24.886,23.034,1.539,26.52,2.971,210.815,384.92,6.631,102.22,2.295,2.565
198510,22.81,21.606,1.382,24.045,2.327,132.936,391.504,4.045,102.136,10.533,2.794
198511,19.92,18.491,1.619,21.649,2.449,113.078,366.357,2.979,102.123,3.399,2.311
198512,9.036,7.759,2.755,10.678,3.185,120.865,290.199,2.687,102.314,2.323,2.705
198601,8.486,7.015,3.113,10.321,3.233,127.216,289.206,2.915,102.297,1.968,2.913
198602,13.117,11.639,2.402,14.788,2.587,143.419,320.605,2.862,101.868,2.244,2.7
198603,14.525,12.608,2.376,16.346,3.364,206.614,314.405,4.298,102.257,2.391,2.852
198604,19.548,17.036,2.492,21.552,3.888,291.08,324.901,7.846,101.833,0.528,2.907
198605,23.641,21.198,1.874,25.324,3.034,281.317,366.855,7.354,101.961,1.562,2.352
198606,27.602,25.856,1.251,28.746,2.324,261.106,406.791,6.875,101.93,3.316,2.661
198607,30.468,28.359,1.415,31.87,2.797,275.885,421.574,10.466,101.942,2.408,2.205
198608,27.377,25.958,1.129,28.437,2.125,193.112,416.271,5.765,101.962,9.001,2.473
198609,25.956,24.207,1.253,27.523,2.598,204.846,396.679,6.094,102.226,1.107,2.244
198610,20.878,19.173,1.675,22.656,2.919,151.067,364.93,5.113,102.221,5.228,2.485
198611,18.064,17.067,1.632,19.272,2.004,93.799,368.813,2.512,102.262,3.103,2.634
198612,11.838,10.745,1.902,13.243,2.379,99.752,325.184,2.599,102.34,4.661,2.684
198701,9.111,7.916,2.415,10.61,2.691,115.075,301.86,2.538,101.904,6.09,3.212
198702,9.786,8.732,2.561,11.019,2.621,124.722,311.99,2.969,102.091,5.061,3.256
198703,13.487,11.927,2.299,15.001,2.967,190.877,319.287,3.772,101.998,3.905,2.989
198704,17.064,14.811,2.256,18.854,3.425,260.448,326.047,5.565,101.66,1.863,2.808
198705,23.48,20.903,1.752,25.24,2.881,285.576,368.13,6.59,102.193,1.123,2.187
198706,27.089,25.085,1.251,28.402,2.479,253.435,403.791,6.657,101.988,4.218,2.262
198707,28.874,26.654,1.45,30.346,2.724,279.374,410.001,8.253,102.005,2.774,2.005
198708,28.613,26.983,1.119,29.837,2.501,223.082,420.786,6.287,101.928,5.457,2.168
198709,25.549,23.983,1.176,26.964,2.427,176.945,399.41,5.026,101.859,6.632,1.943
198710,16.638,14.512,2.341,18.867,3.653,192.225,325.258,4.774,102.222,0.149,2.593
198711,15.831,14.037,2.316,17.979,3.182,129.74,332.195,3.815,102.292,1.927,2.826
198712,12.337,10.941,2.34,14.131,2.656,109.304,314.742,3.022,102.199,1.273,2.875
198801,6.519,5.452,2.174,7.827,2.358,100.751,302.721,1.711,102.658,3.372,2.739
198802,9.97,8.365,2.881,11.749,3.081,154.422,302.409,2.993,102.272,2.636,2.839
198803,14.229,12.282,2.571,16.07,3.348,202.673,317.984,3.914,102.222,2.118,2.937
198804,17.969,16.075,2.253,19.472,3.14,249.859,334.528,5.149,101.604,3.607,3.075
198805,22.135,19.691,1.921,23.784,3.003,270.035,359.974,6.332,101.886,2.559,2.464
198806,25.113,22.58,1.948,26.772,3.084,300.295,377.267,7.618,101.928,2.53,2.225
198807,28.129,26.167,1.373,29.437,2.48,270.992,405.588,7.675,102.146,3.469,2.512
198808,28.25,26.719,0.97,29.397,2.174,216.522,416.191,5.579,101.963,6.35,2.304
198809,25.166,23.851,1.17,26.348,2.213,173.714,400.054,4.661,102.085,6.282,2.502
198810,17.314,15.497,1.885,19.212,3.278,174.045,335.552,4.88,102.179,1.118,2.539
