TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_1_QC,TS_F_MDS_2_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20190101,14.036,0.0,12.254,1.35,0.0,16.328,2.46,0.0,21.842,20.986,0.732,22.942,1.549,21.842,0.0,20.986,0.732,0.0,22.942,1.549,0.0,208.9,155.418,0.0,54.952,54.952,0.0,296.38,0.0,400.036,400.036,0.0,308.468,0.0,462.544,462.544,0.0,4.24,0.0,2.548,2.548,0.0,102.216,102.216,0.0,12.911,12.911,0.0,3.207,3.207,0.0,-9999,0.0,-9999,0.0,-9999,0.0,394.421,0.0,14.051,11.808,0.0,0.0,-9999,-9999,34.6275,-9999,-9999,-9999,-9999,3.516,-9999,7.53781,-9999,-9999,-9999,-9999,2.46967,-9999,-9999,-9999,27,21,27,21,0.00929334,0.0,0.20112,0.424997,0.0244378,0.0,0.161509,0.407748,-0.205812,0.0,0.0631193,-1.04658,-0.622636,-0.474513,0.0203018,0.124916,0.126159,0.168554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53173,0.817011,0.0,0.1631,0.412717,-1.9489,2.16219,0.0,0.390215,0.529307,1.61268,0.607828,0.0,0.185499,0.42207,-2.01961,2.07241,0.0,0.263954,0.444488,0.416471,1.0287,1.22865,1.53173,1.76229,1.78694,1.84228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.84067,-2.69404,-2.67787,-2.01961,-1.97878,-1.97878,-1.97878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76089,2.44735,2.76535,0.0256152,2.45903,2.64668,2.67265,2.74938,2.84821,2.89148,3.03827,3.38321,2.42291,2.97116,0.0763226,2.33717,2.54493,2.56468,2.70253,3.38321,3.43531,3.69931,0.961015,1.03319,0.958829,0.0200432,0.813149,0.831175,0.833048,0.961015,1.10118,1.1193,1.1251,0.456572,0.741627,0.750058,0.0226447,0.456572,0.45944,0.723948,0.750875,0.837697,0.854258,0.952295,-9999,-9999
20190102,14.017,0.0,12.606,1.16,0.0,15.831,1.886,0.0,18.163,17.417,1.949,19.121,1.129,18.163,0.0,17.417,1.949,0.0,19.121,1.129,0.0,209.509,152.703,0.0,32.937,32.937,0.0,296.354,0.0,395.53,395.53,0.0,310.902,0.0,456.392,456.392,0.0,4.883,0.0,0.599,0.599,0.0,102.346,102.346,0.0,16.027,15.898,0.354167,1.599,1.599,0.0,-9999,0.0,-9999,0.0,-9999,0.0,398.934,0.0,14.354,12.16,0.0,0.0,-9999,-9999,46.6204,-9999,-9999,-9999,-9999,4.64464,-9999,9.68974,-9999,-9999,-9999,-9999,3.03716,-9999,-9999,-9999,27,21,27,21,-0.340521,0.0,0.176252,0.521725,-0.152925,0.0,0.169835,0.519592,-0.567838,0.0,0.0726975,-1.30962,-1.13503,-0.99073,-0.33936,-0.152925,-0.152925,-0.145518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31421,1.20865,0.0,0.164573,0.510236,-2.43973,2.70459,0.0,0.325485,0.564034,1.61268,0.607828,0.0,0.184916,0.517156,-2.41028,2.76443,0.0,0.288812,0.543697,0.416471,0.646743,0.84844,1.31421,1.61268,1.61268,1.66266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.42005,-3.33157,-3.27305,-2.45823,-2.41028,-2.41028,-2.41028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57114,2.15056,2.47188,0.0228516,2.22049,2.32599,2.3379,2.48444,2.60058,2.64793,2.67211,3.70484,2.30349,3.03972,0.090969,2.36601,2.49859,2.51306,2.65513,3.50854,3.70484,3.88758,0.921122,0.990305,0.912141,0.0188529,0.779394,0.796672,0.798467,0.887963,1.05547,1.0601,1.07839,0.276096,0.467204,0.47225,0.0163094,0.276096,0.277851,0.454724,0.473055,0.521303,0.534144,0.631113,-9999,-9999
20190103,13.699,0.0,12.463,1.533,0.0,15.288,2.55,0.0,18.188,17.224,0.846,19.426,1.11,18.188,0.0,17.224,0.846,0.0,19.426,1.11,0.0,210.175,158.918,0.0,44.455,44.455,0.0,284.771,0.0,383.48,383.48,0.0,303.044,0.0,439.937,439.937,0.0,5.485,0.0,0.483,0.483,0.0,102.007,102.007,0.0,4.69,3.6,1.0,1.963,1.963,0.0,-9999,0.0,-9999,0.0,-9999,0.0,395.576,0.0,14.295,12.245,0.0,0.0,-9999,-9999,52.4199,-9999,-9999,-9999,-9999,4.99556,-9999,7.13189,-9999,-9999,-9999,-9999,3.29372,-9999,-9999,-9999,27,21,27,21,-0.418905,0.0,0.178627,0.519467,-0.166553,0.0,0.170106,0.516599,-0.57493,0.0,0.0723417,-1.30962,-1.13503,-0.99073,-0.414481,-0.166267,-0.159451,-0.159451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31421,1.20865,0.0,0.164573,0.571027,-2.61238,2.77987,0.0,0.331706,0.497955,1.72817,0.533204,0.0,0.1831,0.57664,-2.58879,2.8596,0.0,0.291487,0.472118,0.416471,0.646743,0.84844,1.31421,1.74034,1.74034,1.74034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.42005,-3.33157,-3.27305,-2.6038,-2.58879,-2.58879,-2.58879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5728,2.15224,2.47368,0.0228593,2.22212,2.32776,2.33971,2.48593,2.60235,2.64996,2.67393,3.7065,2.31879,3.04861,0.0909888,2.38839,2.48721,2.50626,2.67782,3.5105,3.7065,3.8893,0.921536,0.99075,0.912515,0.018866,0.779744,0.79703,0.798825,0.888362,1.05594,1.06057,1.07888,0.368913,0.596292,0.603846,0.0181301,0.368913,0.371227,0.582262,0.603724,0.67445,0.687412,0.770982,-9999,-9999
20190104,13.699,0.0,12.463,1.533,0.0,15.288,2.55,0.0,17.91,17.737,1.264,18.133,1.094,17.91,0.0,17.737,1.264,0.0,18.133,1.094,0.0,210.895,158.918,0.0208333,34.79,34.79,0.0208333,284.771,0.0,383.712,383.712,0.0,303.564,0.0,440.254,440.254,0.0,5.485,0.0,0.685,0.685,0.0,101.599,101.599,0.0,12.64,5.3,1.0,3.332,3.332,0.0,-9999,0.0,-9999,0.0,-9999,0.0,395.576,0.0,14.295,12.245,0.0,0.0,-9999,-9999,52.4199,-9999,-9999,-9999,-9999,5.04103,-9999,7.13189,-9999,-9999,-9999,-9999,2.99658,-9999,-9999,-9999,27,21,27,21,-0.261283,0.0,0.162755,0.395191,-0.166553,0.0,0.170019,0.398238,-0.480969,0.0,0.0614575,-1.33145,-0.879693,-0.73157,-0.258924,-0.166267,-0.159451,-0.159451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53173,0.817011,0.0,0.1631,0.391421,-2.54488,2.86603,0.0,0.290756,0.444129,1.72817,0.533204,0.0,0.1831,0.400168,-2.58879,2.8596,0.0,0.291241,0.444447,0.416471,1.0287,1.22865,1.53173,1.74034,1.74034,1.74034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.46815,-3.26024,-3.19106,-2.6038,-2.58879,-2.58879,-2.58879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55841,2.12991,2.45158,0.0229368,2.20575,2.30078,2.31454,2.47361,2.58628,2.62063,2.65683,3.43779,2.29646,2.93254,0.0803787,2.37202,2.46023,2.48093,2.65064,3.25008,3.43779,3.76782,0.918499,0.987484,0.908989,0.0188792,0.777174,0.792018,0.796193,0.885434,1.05246,1.05708,1.07532,0.290545,0.483264,0.488709,0.0159337,0.290545,0.292383,0.470937,0.489306,0.542002,0.554244,0.642692,-9999,-9999
20190105,13.297,0.833333,11.716,1.896,1.0,15.33,2.621,0.619048,14.124,13.638,1.79,14.749,2.5,13.152,0.833333,11.716,1.896,1.0,14.999,2.699,0.619048,211.672,158.898,0.854167,147.765,155.221,0.854167,286.25,0.833333,294.81,287.0,0.833333,310.623,0.833333,318.856,309.595,0.833333,5.218,0.833333,4.375,5.014,0.833333,101.533,101.273,0.520833,0.0,0.0,1.0,4.432,3.846,0.520833,0.3749140879999999,0.5208333333333334,20.843469206896554,0.5208333333333334,383.53339705747123,0.5208333333333334,397.821,0.833333,14.055,11.92,0.833333,0.833333,-9999,-9999,51.2823,-9999,-9999,-9999,-9999,4.799,-9999,10.1616,-9999,-9999,-9999,-9999,3.22661,-9999,-9999,-9999,27,21,27,21,-0.033128,0.8125,0.185571,0.215965,-0.118784,0.8125,0.186594,0.216844,-0.170186,0.8125,0.0179443,-0.357548,-0.290101,-0.270364,-0.0937087,-0.0722289,-0.0691554,-0.0591184,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,1.91038,0.683281,1.0,0.164304,0.218062,-2.52917,2.85367,0.571429,0.34992,0.519738,1.73778,0.715059,1.0,0.190575,0.238483,-2.49592,2.93673,0.571429,0.329969,0.506521,1.78073,1.79651,1.81753,1.85167,2.05958,2.08325,2.1547,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.32124,-3.26451,-3.26451,-2.52398,-2.49592,-2.49592,-2.49592,0.571429,0.571429,0.571429,0.571429,0.571429,0.571429,0.571429,2.29981,1.75889,2.07935,0.0279609,1.8399,1.88744,1.92006,2.03603,2.24945,2.29981,2.36162,2.54678,1.87768,2.24954,0.0421108,1.93361,1.97193,1.99487,2.09515,2.52449,2.54678,2.61281,0.896799,0.951632,0.88793,0.0255926,0.600032,0.644728,0.664447,0.979856,1.00888,1.0117,1.02373,1.24787,1.6501,1.72223,0.0409447,1.24787,1.25537,1.62751,1.67513,1.87016,1.96558,2.09553,-9999,-9999
20190106,14.298,1.0,11.598,1.427,1.0,17.77,4.635,1.0,13.957,11.714,2.605,16.84,5.286,14.298,1.0,11.598,1.427,1.0,17.77,4.635,1.0,212.503,158.311,1.0,151.762,158.311,1.0,287.624,1.0,288.061,287.624,1.0,321.834,1.0,309.64,321.834,1.0,5.859,1.0,4.571,5.859,1.0,102.345,102.273,1.0,0.0,0.0,1.0,1.522,1.177,1.0,0.1490545854166667,1.0,17.521909111986115,1.0,379.56775944444445,1.0,394.262,1.0,13.932,11.748,1.0,1.0,-9999,-9999,35.5154,-9999,-9999,-9999,-9999,4.30517,-9999,11.6088,-9999,-9999,-9999,-9999,2.8976,-9999,-9999,-9999,27,21,27,21,-0.708518,0.9375,0.184827,0.37786,-0.370979,0.958333,0.18393,0.377422,-0.384942,0.922917,0.0460499,-0.715479,-0.695629,-0.681472,-0.496601,-0.153245,-0.0364862,0.0390694,0.854167,0.854167,0.854167,0.9375,0.958333,0.958333,1.0,1.58829,0.628805,1.0,0.158765,0.265747,-3.60268,2.49525,0.857143,0.352231,0.545639,1.35683,0.496004,1.0,0.178828,0.278199,-2.56163,2.80861,0.904762,0.333564,0.53378,1.34272,1.36611,1.36907,1.58829,1.6818,1.79233,1.8811,0.851852,0.888889,0.888889,1.0,1.0,1.0,1.0,-3.47368,-3.33236,-3.31466,-3.07196,-2.49892,-2.49892,-2.3325,0.857143,0.809524,0.809524,0.857143,0.904762,0.904762,1.0,2.19087,1.74901,2.0232,0.0214165,1.84619,1.87602,1.92041,2.00976,2.11974,2.19008,2.25894,2.87234,2.11999,2.40814,0.0623475,1.93611,1.9948,2.01787,2.12181,2.83521,2.86427,2.87234,0.981252,1.01678,0.987227,0.0592806,0.426061,0.438788,0.588284,1.0237,1.07953,1.48262,1.59888,1.272,1.44579,1.53223,0.0371914,1.272,1.27965,1.43018,1.4585,1.4734,1.71472,2.08112,-9999,-9999
20190107,13.999,1.0,12.75,2.212,1.0,15.606,1.395,1.0,14.019,11.949,2.645,16.682,3.1,13.999,1.0,12.75,2.212,1.0,15.606,1.395,1.0,213.389,149.606,1.0,144.663,149.606,1.0,312.731,1.0,317.563,312.731,1.0,341.335,1.0,349.926,341.335,1.0,1.838,1.0,2.466,1.838,1.0,102.715,102.71,0.645833,0.001,0.0,1.0,2.473,2.362,0.645833,0.17803556451612904,0.6458333333333334,15.812476124236108,1.0,377.99058840277775,1.0,390.558,0.979167,13.94,11.516,1.0,1.0,-9999,-9999,18.3389,-9999,-9999,-9999,-9999,3.56643,-9999,0.619544,-9999,-9999,-9999,-9999,2.67376,-9999,-9999,-9999,27,21,27,21,0.133951,0.9375,0.189021,0.275996,0.149371,0.979167,0.205217,0.28733,0.0801262,0.924479,0.0306305,-0.172249,-0.158411,-0.152092,0.133951,0.224087,0.243807,0.334117,0.875,0.875,0.895833,0.9375,0.958333,0.958333,0.958333,1.26373,0.469502,1.0,0.121319,0.201521,-1.32975,1.40637,0.857143,0.386019,0.740472,1.04705,0.508752,1.0,0.196931,0.254311,-1.0172,1.35791,0.952381,0.374444,0.734504,1.04901,1.07695,1.09811,1.26328,1.35216,1.39877,1.74458,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.17738,-2.15063,-2.07385,-1.32975,-0.892586,-0.886842,-0.886332,0.714286,0.714286,0.714286,0.857143,0.904762,0.904762,0.904762,1.84714,1.46489,1.67573,0.0207595,1.52971,1.54396,1.57473,1.6297,1.77998,1.83261,1.91896,1.99684,1.31552,1.59561,0.0453984,1.30103,1.3185,1.32333,1.3818,1.90527,1.95188,1.9847,1.15599,1.17499,1.20937,0.0602192,0.613009,0.862331,0.94804,1.15599,1.21814,1.69174,1.96023,1.13898,1.19978,1.38756,0.0440726,1.13898,1.14685,1.19096,1.21355,1.42619,1.77474,1.92838,-9999,-9999
20190108,16.982,1.0,14.925,2.562,1.0,19.628,4.059,1.0,16.993,15.04,2.526,19.504,3.747,16.982,1.0,14.925,2.562,1.0,19.628,4.059,1.0,214.329,135.338,1.0,143.598,135.338,1.0,331.548,1.0,329.098,331.548,1.0,372.754,1.0,365.678,372.754,1.0,4.717,1.0,3.876,4.717,1.0,102.201,102.15,1.0,0.0,0.0,1.0,2.935,2.157,1.0,0.21439646666666667,1.0,14.003277230069443,1.0,392.09770354166676,1.0,394.115,1.0,14.424,11.711,1.0,1.0,-9999,-9999,22.7914,-9999,-9999,-9999,-9999,2.6607,-9999,-6.99436,-9999,-9999,-9999,-9999,2.0358,-9999,-9999,-9999,27,21,27,21,-0.335266,1.0,0.144893,0.263433,-0.121685,1.0,0.157191,0.270393,-0.271191,0.990625,0.0333923,-0.580709,-0.489938,-0.479459,-0.328416,-0.0761996,-0.0499235,-0.032938,0.979167,0.979167,0.979167,1.0,1.0,1.0,1.0,0.775775,0.695824,1.0,0.119064,0.140412,-1.73589,1.54764,1.0,0.280033,0.490521,0.787923,0.685748,1.0,0.184011,0.198492,-1.28107,1.34261,1.0,0.252793,0.475497,0.755427,0.760205,0.773935,0.822523,0.856209,0.909055,0.921956,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.30041,-2.05668,-2.05322,-1.7208,-1.25778,-1.25121,-1.24997,0.952381,0.952381,0.952381,1.0,1.0,1.0,1.0,1.60773,1.36547,1.5249,0.0121404,1.4389,1.45613,1.47639,1.49987,1.56673,1.59607,1.67872,2.09789,1.48715,1.79609,0.0420284,1.50761,1.53233,1.53821,1.61099,2.00804,2.05816,2.23377,1.49664,1.50332,1.64568,0.0649394,0.759047,1.30914,1.42322,1.51354,2.02835,2.19334,2.29669,0.937479,1.00705,1.31599,0.0587697,0.937479,0.943126,1.00416,1.01078,1.68948,1.77859,1.83233,-9999,-9999
20190109,13.833,1.0,12.882,3.313,1.0,15.056,1.044,1.0,13.71,13.098,3.002,14.497,0.812,13.833,1.0,12.882,3.313,1.0,15.056,1.044,1.0,215.323,169.8,1.0,160.848,169.8,1.0,276.005,1.0,276.773,276.005,1.0,291.062,1.0,294.227,291.062,1.0,6.954,1.0,6.109,6.954,1.0,101.811,101.811,0.0,0.0,0.0,1.0,3.972,3.972,0.0,-9999,0.0,19.251591013888888,1.0,375.8180271527778,1.0,391.317,0.895833,14.253,11.728,1.0,1.0,-9999,-9999,43.1011,-9999,-9999,-9999,-9999,3.62978,-9999,11.6414,-9999,-9999,-9999,-9999,3.99538,-9999,-9999,-9999,27,21,27,21,-0.829314,0.833333,0.196676,0.226828,-0.686149,0.875,0.180343,0.212823,-0.737452,0.857292,0.0177918,-0.917205,-0.865718,-0.83438,-0.730863,-0.644865,-0.639711,-0.588394,0.833333,0.833333,0.833333,0.833333,0.875,0.875,0.895833,1.00297,0.922389,1.0,0.112789,0.119355,-3.11619,2.28542,0.619048,0.40821,0.460233,1.01332,0.655356,1.0,0.184179,0.188272,-2.81417,2.20257,0.714286,0.318928,0.383268,0.982459,1.00297,1.01497,1.05121,1.06991,1.08105,1.171,1.0,1.0,1.0,1.0,1.0,1.0,0.962963,-3.28723,-3.21804,-3.19243,-3.10622,-2.79293,-2.79293,-2.68594,0.666667,0.666667,0.666667,0.619048,0.714286,0.714286,0.761905,1.17166,0.96159,1.08193,0.0111811,1.01239,1.022,1.02406,1.04435,1.12233,1.1446,1.22528,2.01135,1.64774,1.81938,0.0225474,1.65884,1.66762,1.68784,1.71072,1.96756,2.0003,2.01135,1.53012,1.55171,1.71281,0.0815985,0.605464,1.43761,1.51942,1.53754,2.13615,2.29853,2.54138,1.1793,1.12616,1.47786,0.0690959,1.06234,1.11612,1.1164,1.17865,1.83167,1.88607,2.17802,-9999,-9999
20190110,5.56,1.0,4.023,1.611,1.0,7.536,2.62,1.0,5.863,5.004,1.814,6.968,2.012,5.56,1.0,4.023,1.611,1.0,7.536,2.62,1.0,216.369,171.921,1.0,161.084,171.921,1.0,240.104,1.0,245.146,240.104,1.0,242.435,1.0,251.04,242.435,1.0,4.083,1.0,3.729,4.083,1.0,102.253,102.253,0.0,0.0,0.0,1.0,3.199,3.199,0.0,-9999,0.0,19.28274768412699,1.0,338.7482824478312,1.0,378.57,0.833333,11.706,9.873,1.0,1.0,-9999,-9999,26.2147,-9999,-9999,-9999,-9999,2.44428,-9999,34.6822,-9999,-9999,-9999,-9999,3.62369,-9999,-9999,-9999,27,21,27,21,-2.28639,0.770833,0.206579,0.330834,-1.91892,0.833333,0.184713,0.31764,-2.14192,0.799479,0.0395192,-2.43239,-2.42039,-2.39018,-2.28639,-1.9042,-1.90357,-1.88399,0.770833,0.770833,0.770833,0.770833,0.833333,0.833333,0.833333,-1.44473,0.281326,1.0,0.134274,0.380406,-3.17855,1.38326,0.47619,0.420994,0.434781,-0.816622,0.137124,1.0,0.18635,0.401753,-3.17672,1.55086,0.619048,0.328822,0.346298,-1.52601,-1.51149,-1.49555,-1.44473,-0.800695,-0.799648,-0.78958,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.4143,-3.38196,-3.3418,-3.17855,-3.16472,-3.16472,-3.13455,0.47619,0.380952,0.47619,0.47619,0.619048,0.619048,0.619048,0.661213,0.466857,0.549641,0.0124779,0.450126,0.462899,0.488383,0.510397,0.615075,0.63563,0.661213,3.06774,2.38578,2.69156,0.04624,2.38199,2.39361,2.40622,2.52017,2.97655,3.05072,3.08161,1.24112,1.30723,1.39976,0.0695336,0.278144,1.16637,1.23317,1.28789,1.75611,1.88704,2.0755,1.46226,1.16085,1.49898,0.0643673,1.0835,1.13076,1.1316,1.46033,1.81915,1.85644,2.11532,-9999,-9999
